Date,AwayTeam,AwayJersey,HomeTeam,HomeJersey
4/1/21,BAL,Postponed - 4/2/21,BOS,Postponed - 4/2/21
4/1/21,PIT,Road gray,CHC,Home white
4/1/21,STL,Road gray blue hat Bob Gibson 45 memorial patch,CIN,Home white Joe Morgan 8 memorial patch
4/1/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,COL,Home white
4/1/21,CLE,Road navy,DET,Home white
4/1/21,TEX,Road gray,KCR,Home white
4/1/21,CHW,Road black,LAA,Home white
4/1/21,TBR,Road navy,MIA,Home white
4/1/21,MIN,Road navy Mike Bell MB memorial patch,MIL,Home cream Hank Aaron 44 memorial patch
4/1/21,TOR,Road powder,NYY,Home white Whitey Ford 16 memorial patch
4/1/21,HOU,Road gray,OAK,Home white
4/1/21,ATL,Road navy 150th season patch 2021 All Star Game patch,PHI,Home white Dick Allen 15 memorial patch
4/1/21,ARI,Road red A hat,SDP,Home white
4/1/21,SFG,Road gray,SEA,Home white
4/1/21,NYM,Postponed - 6/19/21,WSN,Postponed - 6/19/21
4/2/21,BAL,Road black,BOS,Home white
4/2/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,COL,Home white
4/2/21,CHW,Road gray,LAA,Home white
4/2/21,TBR,Road gray,MIA,Home black
4/2/21,HOU,Road gray,OAK,Home kelly green
4/2/21,ARI,Road gray,SDP,Home white
4/2/21,SFG,Road gray,SEA,Home teal
4/3/21,BAL,Road orange,BOS,Home white
4/3/21,PIT,Road black,CHC,Home white
4/3/21,STL,Road powder Bob Gibson 45 memorial patch,CIN,Home red Joe Morgan 8 memorial patch
4/3/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,COL,Home purple
4/3/21,CLE,Road navy,DET,Home white
4/3/21,TEX,Road gray,KCR,Home powder
4/3/21,CHW,Road black,LAA,Home white
4/3/21,TBR,Road gray,MIA,Home black
4/3/21,MIN,Road gray Mike Bell MB memorial patch,MIL,Home white Hank Aaron 44 memorial patch
4/3/21,TOR,Road gray,NYY,Home white Whitey Ford 16 memorial patch
4/3/21,HOU,Road gray,OAK,Home white
4/3/21,ATL,Road gray 150th season patch,PHI,Home cream Dick Allen 15 memorial patch
4/3/21,ARI,Road gray,SDP,Home white
4/3/21,SFG,Road gray,SEA,Home white
4/3/21,NYM,Postponed - 6/28/21,WSN,Postponed - 6/28/21
4/4/21,BAL,Road gray,BOS,Home white
4/4/21,PIT,Road gray,CHC,Home white
4/4/21,STL,Road gray blue hat Bob Gibson 45 memorial patch,CIN,Home red Joe Morgan 8 memorial patch
4/4/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,COL,Home black
4/4/21,CLE,Road navy,DET,Home white
4/4/21,TEX,Road gray,KCR,Home powder
4/4/21,CHW,Road gray,LAA,Home white
4/4/21,MIN,Road gray Mike Bell MB memorial patch,MIL,Home white Hank Aaron 44 memorial patch
4/4/21,TOR,Road royal,NYY,Home white Whitey Ford 16 memorial patch
4/4/21,HOU,Road gray,OAK,Home green
4/4/21,ATL,Road gray 150th season patch,PHI,Home cream Dick Allen 15 memorial patch
4/4/21,ARI,Road red snake hat,SDP,Home camo green
4/4/21,NYM,Postponed - 9/4/21,WSN,Postponed - 9/4/21
4/5/21,TBR,Road navy,BOS,Home white
4/5/21,MIL,Road navy Hank Aaron 44 memorial patch,CHC,Home white
4/5/21,PIT,Road black,CIN,Home white Joe Morgan 8 memorial patch
4/5/21,KCR,Road gray,CLE,Home white
4/5/21,MIN,Road gray Mike Bell MB memorial patch,DET,Home white
4/5/21,HOU,Road gray,LAA,Home white
4/5/21,STL,Road gray Bob Gibson 45 memorial patch,MIA,Home white
4/5/21,BAL,Road gray,NYY,Home white Whitey Ford 16 memorial patch
4/5/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,OAK,Home white
4/5/21,NYM,Road gray Tom Seaver 41 memorial patch,PHI,Home white Dick Allen 15 memorial patch
4/5/21,SFG,Road gray,SDP,Home white
4/5/21,CHW,Road gray,SEA,Home white
4/5/21,TOR,Road royal,TEX,Home white blue hat
4/5/21,ATL,Postponed - 4/7/21,WSN,Postponed - 4/7/21
4/6/21,TBR,Road navy,BOS,Home white
4/6/21,MIL,Road gray Hank Aaron 44 memorial patch,CHC,Home white
4/6/21,PIT,Road gray,CIN,Home white Joe Morgan 8 memorial patch
4/6/21,ARI,Road gray,COL,Home black
4/6/21,MIN,Road navy Mike Bell MB memorial patch,DET,Home white
4/6/21,HOU,Road orange,LAA,Home white
4/6/21,STL,Road gray Bob Gibson 45 memorial patch,MIA,Home white
4/6/21,BAL,Road gray,NYY,Home white Whitey Ford 16 memorial patch
4/6/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,OAK,Home kelly green
4/6/21,NYM,Road gray Tom Seaver 41 memorial patch,PHI,Home white Dick Allen 15 memorial patch
4/6/21,SFG,Road gray,SDP,Home white
4/6/21,CHW,Road gray,SEA,Home white
4/6/21,TOR,Road royal,TEX,Home white red hat
4/6/21,ATL,Road navy 150th season patch,WSN,Home white white panel hat
4/7/21,TBR,Road navy,BOS,Home white
4/7/21,MIL,Road gray Hank Aaron 44 memorial patch,CHC,Home white
4/7/21,PIT,Road gray,CIN,Home red Joe Morgan 8 memorial patch
4/7/21,KCR,Road royal,CLE,Home red
4/7/21,ARI,Road red snake hat,COL,Home white
4/7/21,MIN,Road gray Mike Bell MB memorial patch,DET,Home white
4/7/21,STL,Road gray Bob Gibson 45 memorial patch,MIA,Home white
4/7/21,BAL,Road gray,NYY,Home white Whitey Ford 16 memorial patch
4/7/21,LAD,Road gray Dodgers Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch,OAK,Home white
4/7/21,NYM,Road gray Tom Seaver 41 memorial patch,PHI,Home cream Dick Allen 15 memorial patch
4/7/21,SFG,Road gray,SDP,Home white
4/7/21,CHW,Road gray,SEA,Home white
4/7/21,TOR,Road powder,TEX,Home white red hat
4/7/21,ATL,Road navy 150th season patch,WSN,Home white white panel hat
4/7/21,ATL,Road gray 150th season patch,WSN,Home red
4/8/21,BOS,Road navy,BAL,Home white
4/8/21,KCR,Road gray,CHW,Home white
4/8/21,ARI,Road gray,COL,Home white
4/8/21,OAK,Road gray,HOU,Home white
4/8/21,SEA,Road navy teal brim hat,MIN,Home white Mike Bell MB memorial patch
4/8/21,MIA,Road black,NYM,Home white Tom Seaver 41 memorial patch
4/8/21,CHC,Road royal,PIT,Home white
4/8/21,MIL,Road gray Hank Aaron 44 memorial patch,STL,Home white Bob Gibson 45 memorial patch
4/8/21,LAA,Road gray,TOR,Home white white panel hat
4/9/21,CIN,Road gray Joe Morgan 8 memorial patch,ARI,Home white teal accents
4/9/21,PHI,Road gray Dick Allen 15 memorial patch,ATL,Home throwback
4/9/21,DET,Road gray,CLE,Home white
4/9/21,OAK,Road gray,HOU,Home orange
4/9/21,WSN,Road gray,LAD,Home white Championship Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
4/9/21,COL,Road gray,SFG,Home cream
4/9/21,NYY,Road gray Whitey Ford 16 memorial patch,TBR,Home white
4/9/21,SDP,Road sand,TEX,Home red
4/9/21,LAA,Road gray,TOR,Home royal
4/10/21,CIN,Road red Joe Morgan 8 memorial patch,ARI,Home black
4/10/21,PHI,Road gray Dick Allen 15 memorial patch,ATL,Home throwback
4/10/21,BOS,Road navy,BAL,Home orange
4/10/21,KCR,Postponed - 5/14/21,CHW,Postponed - 5/14/21
4/10/21,DET,Road gray,CLE,Home white
4/10/21,OAK,Road gray,HOU,Home white
4/10/21,WSN,Road gray,LAD,Home white Championship Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
4/10/21,SEA,Road navy teal brim hat,MIN,Home red Mike Bell MB memorial patch
4/10/21,MIA,Road black,NYM,Home white Tom Seaver 41 memorial patch
4/10/21,CHC,Road royal,PIT,Home white
4/10/21,COL,Road black,SFG,Home cream
4/10/21,MIL,Road navy Hank Aaron 44 memorial patch,STL,Home cream Bob Gibson 45 memorial patch
4/10/21,NYY,Road gray Whitey Ford 16 memorial patch,TBR,Home white
4/10/21,SDP,Road sand,TEX,Home white blue hat
4/10/21,LAA,Road gray,TOR,Home white
4/11/21,CIN,Road gray Joe Morgan 8 memorial patch,ARI,Home red snake hat
4/11/21,PHI,Road gray Dick Allen 15 memorial patch,ATL,Home throwback
4/11/21,BOS,Road navy,BAL,Home white
4/11/21,KCR,Road royal,CHW,Home throwback
4/11/21,DET,Road gray,CLE,Home red
4/11/21,WSN,Road gray,LAD,Home white Championship Tommy Lasorda TOMMY 2 memorial patch Don Sutton SUTTON 20 memorial patch
4/11/21,SEA,Road gray,MIN,Home white Mike Bell MB memorial patch
4/11/21,MIA,Road black,NYM,Home white Tom Seaver 41 memorial patch
4/11/21,CHC,Road royal,PIT,Home white
4/11/21,COL,Road gray,SFG,Home cream
4/11/21,MIL,Road navy Hank Aaron 44 memorial patch,STL,Home white Sunday hat Bob Gibson 45 memorial patch
4/11/21,NYY,Road gray Whitey Ford 16 memorial patch,TBR,Home powder throwback hat
4/11/21,SDP,Road sand,TEX,Home powder
4/11/21,LAA,Postponed - 8/10/21,TOR,Postponed - 8/10/21
4/12/21,OAK,Road gray,ARI,Home white sand accents
4/12/21,MIA,Road gray,ATL,Home throwback
4/12/21,SEA,Postponed - 4/13/21,BAL,Postponed - 4/13/21
4/12/21,CLE,Road navy,CHW,Home white
4/12/21,DET,Road gray,HOU,Home white
4/12/21,LAA,Road gray,KCR,Home white
4/12/21,CHC,Road gray,MIL,Home cream Hank Aaron 44 memorial patch
4/12/21,BOS,Postponed - 4/14/21,MIN,Postponed - 4/14/21
4/12/21,PHI,Postponed - 4/13/21,NYM,Postponed - 4/13/21
4/12/21,SDP,Road sand,PIT,Home white
4/12/21,CIN,Road gray Joe Morgan 8 memorial patch,SFG,Home cream
